name,id,wells,attributes
isynth1 rows,{5944AD65-859E-49BB-A3EE-E3A1BFF566F1},6,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth1 row2,{A40738B6-0238-48F0-B3FC-B9CBD4404AB1},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth1 row3,{5718F365-AFC9-4603-ABE9-A48522FB7286},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth1 row4,{21E5256E-7FAA-4097-9807-CEBB2305F98B},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth1 row5,{3D313B9A-0A45-457B-AEE4-48B9048C1BD5},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth1 row6,{32FB4FAA-F1C6-469D-B073-4866AC3F3FB1},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth2 rows,{B9E3CD26-379F-4493-9693-2F6CFF8EDC9A},6,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth2 row2,{7BB40110-0F83-4DA4-ABFD-E4C896D6F297},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth2 row3,{9EA2F1BF-BE23-4208-9431-B046EA8EB707},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth2 row4,{BC3C8164-E99A-451A-B006-09888D5E961F},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth2 row5,{5EE68567-66DE-4093-869A-796D847947D1},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth2 row6,{ED40EA99-3D93-4653-8209-B1CA13740956},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth3 rows,{39E9BD50-B758-4A13-9E2A-607284554A6D},6,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth3 row2,{B8C7649B-553C-41B9-A8F7-6808F600A2E6},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth3 row4,{063B4B62-02EE-4CCE-8554-E1D8A6021D5A},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
